Symbol,CIK,Title
chy,1222719,CALAMOS CONVERTIBLE & HIGH INCOME FUND
cigi,913353,Colliers International Group Inc.
ciso,1777319,"CISO Global, Inc."
ciss,1951067,C3is Inc.
cjet,1957413,"Chijet Motor Company, Inc."
cjjd,1856084,"China Jo-Jo Drugstores Holdings, Inc."
clbt,1854587,Cellebrite DI Ltd.
cleu,1775085,China Liberal Education Holdings Ltd
clgn,1631487,CollPlant Biotechnologies Ltd
clin,1883984,Clean Earth Acquisitions Corp.
clls,1627281,Cellectis S.A.
clmb,945983,"Climb Global Solutions, Inc."
clmt,1340122,"Calumet Specialty Products Partners, L.P."
clps,1724542,CLPS Inc
clwt,1026662,EURO TECH HOLDINGS CO LTD
cmnd,1892500,Clearmind Medicine Inc.
cmra,1907685,"Comera Life Sciences Holdings, Inc."
cney,1780785,CN ENERGY GROUP. INC.
cntb,1835268,Connect Biopharma Holdings Ltd
cntg,1757097,Centogene N.V.
cnvs,1173204,Cineverse Corp.
cnxa,1674440,Connexa Sports Technologies Inc.
coep,1759186,"Coeptis Therapeutics Holdings, Inc."
coya,1835022,"Coya Therapeutics, Inc."
cplp,1392326,Capital Product Partners L.P.
cpop,1807389,"Pop Culture Group Co., Ltd"
cpz,1717457,Calamos Long/Short Equity & Dynamic Income Trust
crdl,1702123,Cardiol Therapeutics Inc.
cresw,1034957,CRESUD INC
crnt,1119769,CERAGON NETWORKS LTD
crvo,1053691,CervoMed Inc.
csiq,1375877,Canadian Solar Inc.
cslr,1838987,"Complete Solaria, Inc."
csq,1275214,CALAMOS STRATEGIC TOTAL RETURN FUND
cste,1504379,Caesarstone Ltd.
ctcx,1842939,Carmell Corp
ctnt,1951667,CHEETAH NET SUPPLY CHAIN SERVICE INC.
ctrm,1720161,Castor Maritime Inc.
cvac,1809122,CureVac N.V.
cvcy,1127371,CENTRAL VALLEY COMMUNITY BANCORP
cvkd,1937993,"Cadrenal Therapeutics, Inc."
cwd,1627282,CaliberCos Inc.
cxai,1820875,CXApp Inc.
cybr,1598110,CyberArk Software Ltd.
cyto,1601936,Altamira Therapeutics Ltd.
dada,1793862,Dada Nexus Ltd
dcbo,1829959,Docebo Inc.
dcfc,1862490,Tritium DCFC Ltd
ddi,1799567,"DoubleDown Interactive Co., Ltd."
dfli,1847986,Dragonfly Energy Holdings Corp.
dghi,1854368,Digihost Technology Inc.
dhac,1864531,DIGITAL HEALTH ACQUISITION CORP.
dkdca,1849380,Data Knights Acquisition Corp.
dkng,1883685,DraftKings Inc.
dlo,1846832,dLocal Ltd
dmaq,1857086,Deep Medicine Acquisition Corp.
dmk,887247,DMK PHARMACEUTICALS Corp
dnth,1690585,"Dianthus Therapeutics, Inc. /DE/"
dogz,1707303,Dogness (International) Corp
domh,12239,Dominari Holdings Inc.
dooo,1748797,BRP Inc.
dox,1062579,AMDOCS LTD
doyu,1762417,DouYu International Holdings Ltd
dpro,1786286,Draganfly Inc.
drct,1880613,"Direct Digital Holdings, Inc."
drs,1833756,"Leonardo DRS, Inc."
drts,1871321,Alpha Tau Medical Ltd.
drug,1827401,BRIGHT MINDS BIOSCIENCES INC.
dsgx,1050140,DESCARTES SYSTEMS GROUP INC
dswl,946936,DESWELL INDUSTRIES INC
dtck,1949478,DAVIS COMMODITIES Ltd
dti,1884516,Drilling Tools International Corp
dune,1817232,Dune Acquisition Corp
duo,1750593,Fangdd Network Group Ltd.
dwac,1849635,Digital World Acquisition Corp.
ebon,1799290,Ebang International Holdings Inc.
ecbk,1914605,"ECB Bancorp, Inc. /MD/"
ecx,1861974,ECARX Holdings Inc.
edap,1041934,EDAP TMS SA
edbl,1809750,Edible Garden AG Inc
edry,1731388,EuroDry Ltd.
edtk,1782309,Skillful Craftsman Education Technology Ltd
eeiq,1781397,EpicQuest Education Group International Ltd
efht,1922858,EF Hutton Acquisition Corp I
egio,1391127,"Edgio, Inc."
eglx,1854233,Enthusiast Gaming Holdings Inc. / Canada
eh,1759783,EHang Holdings Ltd
ejh,1769768,E-Home Household Service Holdings Ltd
elbm,1907184,Electra Battery Materials Corp
eltk,1024672,ELTEK LTD
eltx,1601485,"Elicio Therapeutics, Inc."
elut,1708527,ELUTIA INC.
elva,1844450,Electrovaya Inc.
elvn,1672619,"Enliven Therapeutics, Inc."
elws,1944399,"Earlyworks Co., Ltd."
em,1834253,Smart Share Global Ltd
encp,1879373,Energem Corp
enlt,1922641,Enlight Renewable Energy Ltd.
enlv,1596812,Enlivex Therapeutics Ltd.
epow,1780731,"Sunrise New Energy Co., Ltd."
eric,717826,ERICSSON LM TELEPHONE CO
erie,922621,ERIE INDEMNITY CO
erna,748592,Eterna Therapeutics Inc.
esea,1341170,EUROSEAS LTD.
esgl,1957538,ESGL Holdings Ltd
eslt,1027664,ELBIT SYSTEMS LTD
evax,1828253,Evaxion Biotech A/S
evgn,1574565,Evogene Ltd.
evo,1412558,Evotec SE
exai,1865408,Exscientia plc
ezgo,1806904,EZGO Technologies Ltd.
ezpw,876523,EZCORP INC
fami,1701261,"Farmmi, Inc."
fanh,1413855,FANHUA INC.
fatp,1865045,FAT PROJECTS ACQUISITION CORP
faze,1839360,FaZe Holdings Inc.
feam,1888654,"5E Advanced Materials, Inc."
fgi,1864943,FGI Industries Ltd.
fhlt,1851182,Future Health ESG Corp.
fip,1899883,FTAI Infrastructure Inc.
flgc,1790169,Flora Growth Corp.
flj,1769256,FLJ Group Ltd
fmst,1935418,Foremost Lithium Resource & Technology Ltd.
fngr,1602409,"FingerMotion, Inc."
forty,1045986,FORMULA SYSTEMS (1985) LTD
fres,1786511,Fresh2 Group Ltd
frgt,1687542,"Freight Technologies, Inc."
frla,1849294,Fortune Rise Acquisition Corp
frln,1810031,Freeline Therapeutics Holdings plc
frsx,1691221,Foresight Autonomous Holdings Ltd.
frza,1901305,"Forza X1, Inc."
fsv,1637810,FirstService Corp
ftel,1928581,Fitell Corp
ftlf,1374328,"FITLIFE BRANDS, INC."
ftre,1965040,Fortrea Holdings Inc.
futu,1754581,Futu Holdings Ltd
gamb,1839799,Gambling.com Group Ltd
game,1714562,"GameSquare Holdings, Inc."
gass,1328919,StealthGas Inc.
gbnh,1735948,Greenbrook TMS Inc.
gct,1857816,GigaCloud Technology Inc
gctk,1506983,"GlucoTrack, Inc."
gdc,1641398,GD Culture Group Ltd
gdev,1848739,GDEV Inc.
gdhg,1928340,GOLDEN HEAVEN GROUP HOLDINGS LTD.
gds,1526125,GDS Holdings Ltd
gdtc,1873093,CytoMed Therapeutics Ltd
gehc,1932393,GE HealthCare Technologies Inc.
gen,849399,Gen Digital Inc.
gene,1166272,GENETIC TECHNOLOGIES LTD
genk,1891856,"GEN Restaurant Group, Inc."
gfai,1804469,"Guardforce AI Co., Ltd."
gfs,1709048,GLOBALFOUNDRIES Inc.
ggal,1114700,GRUPO FINANCIERO GALICIA SA
ggr,1886190,Gogoro Inc.
ghrs,1855129,GH Research PLC
gia,1844505,"GigCapital5, Inc."
gigm,1105101,GIGAMEDIA Ltd
gilt,897322,GILAT SATELLITE NETWORKS LTD
glbe,1835963,Global-E Online Ltd.
glbs,1499780,GLOBUS MARITIME LTD
glli,1888734,GLOBALINK INVESTMENT INC.
glmd,1595353,Galmed Pharmaceuticals Ltd.
glng,1207179,GOLAR LNG LTD
glpg,1421876,GALAPAGOS NV
glst,1922331,Global Star Acquisition Inc.
gmab,1434265,GENMAB A/S
gmgi,1437925,"Golden Matrix Group, Inc."
gnft,1757064,Genfit S.A.
gnlx,1231457,GENELUX Corp
gnta,1838716,Genenta Science S.p.A.
gogl,1029145,Golden Ocean Group Ltd
gp,1584547,GREENPOWER MOTOR Co INC.
gpcr,1888886,Structure Therapeutics Inc.
gpp,1635650,Green Plains Partners LP
grab,1855612,Grab Holdings Ltd
grcl,1826492,Gracell Biotechnologies Inc.
grfs,1438569,Grifols SA
gri,1824293,"GRI BIO, Inc."
grin,1725293,Grindrod Shipping Holdings Ltd.
grow,754811,U S GLOBAL INVESTORS INC
grrr,1903145,Gorilla Technology Group Inc.
grvy,1313310,"GRAVITY Co., Ltd."
gsd,1843248,"Global System Dynamics, Inc."
gsm,1639877,Ferroglobe PLC
gsmg,1738758,GLORY STAR NEW MEDIA GROUP HOLDINGS Ltd
gsun,1826376,Golden Sun Education Group Ltd
gtec,1735041,Greenland Technologies Holding Corp.
gth,1782594,Genetron Holdings Ltd
gtim,825324,Good Times Restaurants Inc.
has,46080,"HASBRO, INC."
hcm,1648257,HUTCHMED (China) Ltd
heps,1850235,D-MARKET Electronic Services & Trading
hffg,1680873,HF Foods Group Inc.
hhrs,1946425,Hammerhead Energy Inc.
hiho,1026785,HIGHWAY HOLDINGS LTD
himx,1342338,"Himax Technologies, Inc."
hiti,1847409,High Tide Inc.
hive,1720424,HIVE Digital Technologies Ltd.
hkit,1742341,HiTek Global Inc.
hlp,1855557,Hongli Group Inc.
hlvx,1888012,"HilleVax, Inc."
hnvr,1828588,"Hanover Bancorp, Inc. /NY"
holi,1357450,"Hollysys Automation Technologies, Ltd."
holo,1841209,MicroCloud Hologram Inc.
hpco,1892480,"Hempacco Co., Inc."
hryu,1911545,"Hanryu Holdings, Inc."
hsai,1861737,Hesai Group
hscs,1468492,"Heart Test Laboratories, Inc."
htht,1483994,H World Group Ltd
htoo,1819794,Fusion Fuel Green PLC
hubc,1905660,Hub Cyber Security Ltd.
hudi,1791725,"Huadi International Group Co., Ltd."
huge,1771885,FSD Pharma Inc.
huiz,1778982,Huize Holding Ltd
hut,1731805,HUT 8 MINING CORP.
hyw,1785680,Hywin Holdings Ltd.
ibex,1720420,IBEX Ltd
iccm,1584371,IceCure Medical Ltd.
icct,1906133,iCoreConnect Inc.
icg,1895597,Intchains Group Ltd
iclk,1697818,iClick Interactive Asia Group Ltd
iclr,1060955,ICON PLC
icu,1831868,SeaStar Medical Holding Corp
iep,813762,ICAHN ENTERPRISES L.P.
ifbd,1815566,"Infobird Co., Ltd"
ifrx,1708688,InflaRx N.V.
igic,1794338,International General Insurance Holdings Ltd.
iinn,1837493,Inspira Technologies OXY B.H.N. Ltd
ilag,1814963,Intelligent Living Application Group Inc.
imab,1778016,I-Mab
imaq,1846235,International Media Acquisition Corp.
imcc,1792030,IM Cannabis Corp.
imcr,1671927,Immunocore Holdings plc
immp,1506184,IMMUTEP Ltd
imnn,749647,"Imunon, Inc."
imos,1123134,CHIPMOS TECHNOLOGIES INC
impp,1876581,Imperial Petroleum Inc./Marshall Islands
imrn,1660046,Immuron Ltd
imte,1668438,Integrated Media Technology Ltd
imtx,1809196,Immatics N.V.
inbs,1725430,INTELLIGENT BIO SOLUTIONS INC.
incr,1857030,Intercure Ltd.
indv,1625297,INDIVIOR PLC
inmd,1742692,InMode Ltd.
intr,1864163,"Inter & Co, Inc."
ints,1567264,"INTENSITY THERAPEUTICS, INC."
invz,1835654,Innoviz Technologies Ltd.
ionr,1896084,ioneer Ltd
ipa,1715925,ImmunoPrecise Antibodies Ltd.
ipha,1598599,Innate Pharma SA
ipx,1898601,IPERIONX Ltd
iq,1722608,"iQIYI, Inc."
iren,1878848,Iris Energy Ltd
iron,1816736,"Disc Medicine, Inc."
ispr,1948455,Ispire Technology Inc.
itaq,1841586,"Industrial Tech Acquisitions II, Inc."
itrn,1337117,Ituran Location & Control Ltd.
iva,1756594,Inventiva S.A.
ivda,1397183,"Iveda Solutions, Inc."
ivp,1939365,"INSPIRE VETERINARY PARTNERS, INC."
ivvd,1832038,"Invivyd, Inc."
ixhl,1873875,Incannex Healthcare Ltd
izm,1854572,ICZOOM Group Inc.
jcse,1905511,JE Cleantech Holdings Ltd
jd,1549802,"JD.com, Inc."
jewl,1884072,Adamas One Corp.
jfbr,1885408,Jeffs' Brands Ltd
jfin,1743102,Jiayin Group Inc.
jfu,1619544,9F Inc.
jg,1737339,Aurora Mobile Ltd
jjsf,785956,J&J SNACK FOODS CORP
jnvr,1805526,Janover Inc.
jtaiz,1861622,Jet.AI Inc.
jwel,1805594,Jowell Global Ltd.
jxjt,1546383,JX Luxventure Ltd
jyd,1938186,Jayud Global Logistics Ltd
jz,1852440,Jianzhi Education Technology Group Co Ltd
jzxn,1816172,"Jiuzi Holdings, Inc."
ka,1445283,"KINETA, INC./DE"
karo,1828102,Karooooo Ltd.
kc,1795589,Kingsoft Cloud Holdings Ltd
kitt,1849820,"Nauticus Robotics, Inc."
kmda,1567529,KAMADA LTD
krkr,1779476,36Kr Holdings Inc.
krnt,1625791,Kornit Digital Ltd.
kvac,1889983,Keen Vision Acquisition Corp.
kvsa,1841873,Khosla Ventures Acquisition Co.
kwe,1889823,KWESST Micro Systems Inc.
kxin,1713539,Kaixin Auto Holdings
kzia,1075880,KAZIA THERAPEUTICS LTD
laes,1951222,SEALSQ Corp
lase,1807887,Laser Photonics Corp
lcfy,1875547,Locafy Ltd
ldwy,875355,"LENDWAY, INC."
lee,58361,"LEE ENTERPRISES, Inc"
legn,1801198,Legend Biotech Corp
lfcr,1005286,"LIFECORE BIOMEDICAL, INC. DE"
lghl,1806524,Lion Group Holding Ltd
lgo,1400438,Largo Inc.
lgvc,1879297,LAMF Global Ventures Corp. I
li,1791706,Li Auto Inc.
licn,1876766,Lichen China Ltd
lifw,1802450,"MSP Recovery, Inc."
lilm,1855756,Lilium N.V.
lipo,1347242,LIPELLA PHARMACEUTICALS INC.
litm,1769697,Snow Lake Resources Ltd.
lizi,1783407,LIZHI INC.
lkco,1487839,Luokung Technology Corp.
lmdx,1685428,LumiraDx Ltd
lmnl,1351172,Liminal BioSciences Inc.
lnkb,1756701,"LINKBANCORP, Inc."
lnza,1843724,"LanzaTech Global, Inc."
lqr,1843165,LQR House Inc.
lsdi,1865127,"Lucy Scientific Discovery, Inc."
lsta,320017,"LISATA THERAPEUTICS, INC."
lucy,1808377,Innovative Eyewear Inc
lunr,1844452,"Intuitive Machines, Inc."
luxh,1893311,LUXURBAN HOTELS INC.
lvtx,1840748,LAVA Therapeutics NV
lx,1708259,LexinFintech Holdings Ltd.
lxeh,1814067,Lixiang Education Holding Co. Ltd.
lyt,1816319,Lytus Technologies Holdings PTV. Ltd.
mama,1520358,"Mama's Creations, Inc."
math,1682241,Metalpha Technology Holding Ltd
maxn,1796898,"Maxeon Solar Technologies, Ltd."
mbly,1910139,Mobileye Global Inc.
mcld,1756499,mCloud Technologies Corp.
mcom,1788841,micromobility.com Inc.
mdai,1833498,"Spectral AI, Inc."
mdbh,1934642,"MDB Capital Holdings, LLC"
mdgs,1618500,Medigus Ltd.
mdjh,1741534,MDJM LTD
mdna,1807983,Medicenna Therapeutics Corp.
mdwd,1593984,MediWound Ltd.
mdxh,1872529,MDxHealth SA
megl,1881472,Magic Empire Global Ltd
meoh,886977,METHANEX CORP
mesa,810332,MESA AIR GROUP INC
meso,1345099,MESOBLAST LTD
metx,1796514,BTC Digital Ltd.
mf,1851682,Missfresh Ltd
mfh,1527762,Mercurity Fintech Holding Inc.
mgam,1886362,"Mobile Global Esports, Inc."
mgic,876779,MAGIC SOFTWARE ENTERPRISES LTD
mgih,1903995,Millennium Group International Holdings Ltd
mgol,1902794,MGO Global Inc.
mgrm,1769759,MONOGRAM ORTHOPAEDICS INC
mgrx,1938046,"MANGOCEUTICALS, INC."
mhua,1835615,"Meihua International Medical Technologies Co., Ltd."
mics,923601,SINGING MACHINE CO INC
mira,1904286,"MIRA PHARMACEUTICALS, INC."
mkul,1872356,"Molekule Group, Inc."
mlco,1381640,Melco Resorts & Entertainment LTD
mlgo,1800392,MicroAlgo Inc.
mltx,1821586,MoonLake Immunotherapeutics
mlys,1933414,"Mineralys Therapeutics, Inc."
mmlp,1176334,MARTIN MIDSTREAM PARTNERS L.P.
mmyt,1495153,MakeMyTrip Ltd
mndo,1119083,MIND CTI LTD
mndy,1845338,monday.com Ltd.
mob,1898643,Mobilicom Ltd
mobq,1084267,"Mobiquity Technologies, Inc."
mogo,1602842,Mogo Inc.
moln,1745114,MOLECULAR PARTNERS AG
momo,1610601,Hello Group Inc.
mond,1828852,"Mondee Holdings, Inc."
mor,1340243,MorphoSys AG
moxc,1864055,Moxian (BVI) Inc
mreo,1719714,Mereo Biopharma Group plc
mrm,1819704,Medirom Healthcare Technologies Inc.
mtc,1742518,"MMTec, Inc."
mtek,1872964,Maris Tech Ltd.
mtls,1091223,MATERIALISE NV
murf,1896212,Murphy Canyon Acquisition Corp.
mvla,1839132,Movella Holdings Inc.
myna,1850453,Mynaric AG
mynz,1874252,MAINZ BIOMED N.V.
nan,1872302,Nano Labs Ltd
naas,1712178,NaaS Technology Inc.
nams,1936258,NewAmsterdam Pharma Co N.V.
nb,1512228,NIOCORP DEVELOPMENTS LTD
nbtx,1760854,Nanobiotix S.A.
ncna,1709626,NuCana plc
ncnc,1964021,noco-noco Inc.
ncpl,1414767,Netcapital Inc.
ncra,1756180,"NOCERA, INC."
ncty,1296774,The9 LTD
negg,1474627,"Newegg Commerce, Inc."
neov,1748137,NeoVolta Inc.
netd,1975218,Nabors Energy Transition Corp. II
nftg,1895618,NFT Gaming Co Inc.
ngms,1821349,NeoGames S.A.
nice,1003935,NICE Ltd.
nir,1826671,"Near Intelligence, Inc."
nisn,1603993,"Nisun International Enterprise Development Group Co., Ltd"
niu,1744781,Niu Technologies
nlsp,1783036,NLS Pharmaceutics Ltd.
nmra,1885522,"Neumora Therapeutics, Inc."
nnagu,1950429,99 Acquisition Group Inc.
nndm,1643303,Nano Dimension Ltd.
nnox,1795251,Nano-X Imaging Ltd.
nogn,1841800,"Nogin, Inc."
nrsn,1875091,NeuroSense Therapeutics Ltd.
ntes,1110646,"NetEase, Inc."
nutx,1479681,"Nutex Health, Inc."
nvac,1859807,NorthView Acquisition Corp
nvct,1875558,"Nuvectis Pharma, Inc."
nvei,1765159,Nuvei Corp
nvmi,1109345,NOVA LTD.
nvx,1859795,NOVONIX Ltd
nwgl,1948294,Nature Wood Group Ltd
nwtn,1932737,"NWTN, Inc."
nxl,1527352,"Nexalin Technology, Inc."
nxpl,1058307,NextPlat Corp
nxt,1852131,Nextracker Inc.
nxu,1722969,"Nxu, Inc."
nyax,1901279,Nayax Ltd.
nyxh,1857190,Nyxoah SA
oabi,1846253,"OmniAb, Inc."
obio,1814114,"Orchestra BioMed Holdings, Inc."
ocea,1869974,"Ocean Biomedical, Inc."
ocg,1776067,Oriental Culture Holding LTD
ocs,1953530,Oculis Holding AG
octo,1892492,Eightco Holdings Inc.
odd,1907085,Oddity Tech Ltd
odvww,1431852,Osisko Development Corp.
ogi,1620737,ORGANIGRAM HOLDINGS INC.
okyo,1849296,OKYO Pharma Ltd
olk,1835539,Olink Holding AB (publ)
omab,1378239,Central North Airport Group
omh,1944902,Ohmyhome Ltd
oncy,1129928,ONCOLYTICS BIOTECH INC
onfo,1825452,"Onfolio Holdings, Inc"
op,1869467,OceanPal Inc.
opal,1842279,OPAL Fuels Inc.
opra,1737450,Opera Ltd
opt,1815620,Opthea Ltd
osa,1934064,"ProSomnus, Inc."
ost,1803407,"Ostin Technology Group Co., Ltd."
otex,1002638,OPEN TEXT CORP
otly,1843586,Oatly Group AB
otmo,1842498,Otonomo Technologies Ltd.
ozk,1569650,Bank OZK
pavs,1751876,Paranovus Entertainment Technology Ltd.
pax,1825570,Patria Investments Ltd
pbts,1754323,"Powerbridge Technologies Co., Ltd."
pdd,1737806,PDD Holdings Inc.
pepg,1835597,PepGen Inc.
peri,1338940,Perion Network Ltd.
pet,1842356,Wag! Group Co.
petz,1684425,"TDH Holdings, Inc."
pev,1879848,PHOENIX MOTOR INC.
pfbc,1492165,Preferred Bank
pgy,1883085,Pagaya Technologies Ltd.
phar,1828316,Pharming Group N.V.
phvs,1830487,Pharvaris N.V.
phxm,1624422,PHAXIAM Therapeutics S.A.
pmgmu,1821606,Priveterra Acquisition Corp. II
